symbol,price,change,change_percent,volume,timestamp,fetched_at
IBM,246.74,-1.42,-0.5722,3376019,2026-04-06,2026-04-08T00:04:15.468470
MSFT,372.88,-0.58,-0.1553,16146572,2026-04-06,2026-04-08T00:04:19.564720
