symbol,price,change,change_percent,volume,timestamp,fetched_at
IBM,246.74,-1.42,-0.5722,3376019,2026-04-06,2026-04-07T23:29:55.180179
MSFT,372.88,-0.58,-0.1553,16146572,2026-04-06,2026-04-07T23:29:59.376833
